id,order_id,item_id,price,quantity,created_at,updated_at,stock_id
1,1,24,700,2,2012-10-06 16:07:22 +0400,2014-10-08 13:31:46 +0400,1
2,1,264,800,1,2012-10-06 16:07:22 +0400,2014-10-08 13:31:46 +0400,1
7,6,403,600,1,2012-10-31 22:55:29 +0400,2014-10-08 13:31:46 +0400,1
11,10,28,400,1,2012-11-22 11:35:16 +0400,2014-10-08 13:31:46 +0400,1
12,10,29,400,1,2012-11-22 11:35:16 +0400,2014-10-08 13:31:46 +0400,1
13,10,403,600,1,2012-11-22 11:35:16 +0400,2014-10-08 13:31:46 +0400,1
14,10,41,400,1,2012-11-22 11:35:16 +0400,2014-10-08 13:31:46 +0400,1
15,11,958,900,1,2012-11-22 15:31:42 +0400,2014-10-08 13:31:46 +0400,1
16,11,468,1800,1,2012-11-22 15:31:42 +0400,2014-10-08 13:31:46 +0400,1
17,11,622,300,1,2012-11-22 15:31:42 +0400,2014-10-08 13:31:46 +0400,1
18,11,4,250,1,2012-11-22 15:31:42 +0400,2014-10-08 13:31:46 +0400,1
19,12,4,250,1,2012-11-22 18:02:23 +0400,2014-10-08 13:31:46 +0400,1
20,13,29,400,1,2012-11-22 18:39:41 +0400,2014-10-08 13:31:46 +0400,1
21,13,41,400,1,2012-11-22 18:39:41 +0400,2014-10-08 13:31:46 +0400,1
22,13,929,450,1,2012-11-22 18:39:41 +0400,2014-10-08 13:31:46 +0400,1
23,14,228,3000,1,2012-11-23 16:29:46 +0400,2014-10-08 13:31:46 +0400,1
24,15,592,1200,1,2012-11-23 22:11:49 +0400,2014-10-08 13:31:46 +0400,1
25,15,403,600,1,2012-11-23 22:11:49 +0400,2014-10-08 13:31:46 +0400,1
26,15,28,400,1,2012-11-23 22:11:49 +0400,2014-10-08 13:31:46 +0400,1
27,16,622,300,1,2012-11-24 13:10:52 +0400,2014-10-08 13:31:46 +0400,1
28,16,4,250,1,2012-11-24 13:10:52 +0400,2014-10-08 13:31:46 +0400,1
29,17,652,800,1,2012-11-24 23:35:29 +0400,2014-10-08 13:31:46 +0400,1
30,17,28,400,1,2012-11-24 23:35:29 +0400,2014-10-08 13:31:46 +0400,1
31,18,564,350,1,2012-11-25 15:09:16 +0400,2014-10-08 13:31:46 +0400,1
32,18,41,400,1,2012-11-25 15:09:16 +0400,2014-10-08 13:31:46 +0400,1
33,18,859,600,1,2012-11-25 15:09:16 +0400,2014-10-08 13:31:46 +0400,1
34,18,120,450,1,2012-11-25 15:09:16 +0400,2014-10-08 13:31:46 +0400,1
35,19,732,2500,1,2012-11-26 11:20:15 +0400,2014-10-08 13:31:46 +0400,1
36,20,403,600,1,2012-11-28 12:09:59 +0400,2014-10-08 13:31:46 +0400,1
37,20,472,1500,1,2012-11-28 12:09:59 +0400,2014-10-08 13:31:46 +0400,1
38,20,212,450,1,2012-11-28 12:09:59 +0400,2014-10-08 13:31:46 +0400,1
39,21,227,2500,1,2012-11-28 20:26:09 +0400,2014-10-08 13:31:46 +0400,1
40,22,28,400,1,2012-11-29 01:51:44 +0400,2014-10-08 13:31:46 +0400,1
41,22,30,400,1,2012-11-29 01:51:44 +0400,2014-10-08 13:31:46 +0400,1
